         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	          58	           8	       -6.76	  1.0000e-07	  2.7333e-06	  9.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.6510	     -8.0039	      2.9874	     -0.5426	
           2	       react	           1	         -99	           0	          59	           8	       -6.76	  1.0000e-07	  3.0333e-06	  1.0111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.5609	     -7.6885	      3.1225	     -0.4525	
           2	       react	           1	         -99	           0	          60	           8	       -6.76	  1.0000e-07	  3.3333e-06	  1.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.4793	     -7.4031	      3.2448	     -0.3709	
           2	       react	           1	         -99	           0	          61	           8	       -6.76	  1.0000e-06	  6.2538e-06	  1.9522e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.9473e-08	  7.9473e-08	     -0.9656	     -5.6204	      4.0000	      0.1429	
           2	       react	           1	         -99	           0	          62	           8	       -6.76	  1.0000e-06	  8.6116e-06	  1.6677e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.2172e-07	  6.4225e-07	     -0.8962	     -5.4817	      4.0000	      0.2122	
           2	       react	           1	         -99	           0	          63	           8	       -6.76	  1.0000e-06	  1.1017e-05	  1.4779e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.3166e-06	  5.9490e-07	     -0.8429	     -5.3751	      4.0000	      0.2655	
           2	       react	           1	         -99	           0	          64	           8	       -6.76	  1.0000e-06	  1.3448e-05	  1.3406e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.8853e-06	  5.6864e-07	     -0.7998	     -5.2888	      4.0000	      0.3086	
           2	       react	           1	         -99	           0	          65	           8	       -6.76	  1.0000e-06	  1.5896e-05	  1.2357e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.4377e-06	  5.5245e-07	     -0.7637	     -5.2166	      4.0000	      0.3447	
           2	       react	           1	         -99	           0	          66	           8	       -6.76	  1.0000e-06	  1.8354e-05	  1.1523e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.9794e-06	  5.4170e-07	     -0.7327	     -5.1545	      4.0000	      0.3758	
           2	       react	           1	         -99	           0	          67	           8	       -6.76	  1.0000e-06	  2.0820e-05	  1.0840e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.5135e-06	  5.3414e-07	     -0.7055	     -5.1002	      4.0000	      0.4029	
           2	       react	           1	         -99	           0	          68	           8	       -6.76	  1.0000e-06	  2.3291e-05	  1.0268e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0421e-06	  5.2860e-07	     -0.6813	     -5.0519	      4.0000	      0.4271	
           2	       react	           1	         -99	           0	          69	           8	       -6.76	  1.0000e-06	  2.5767e-05	  9.7803e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.5665e-06	  5.2440e-07	     -0.6596	     -5.0084	      4.0000	      0.4488	
           2	       react	           1	         -99	           0	          70	           8	       -6.76	  1.0000e-06	  2.6276e-05	  9.6887e-07	  0.0000e+00	  0.0000e+00	  1.9865e-06	  1.9865e-06	  1.0982e-06	 -3.4683e-06	     -0.6554	     -5.0000	      4.0000	      0.4530	
           2	       react	           1	         -99	           0	          71	           8	       -6.76	  1.0000e-05	  4.7968e-05	  6.2441e-07	  0.0000e+00	  0.0000e+00	  5.1217e-06	  3.1352e-06	  0.0000e+00	 -1.0982e-06	     -0.5909	     -5.0000	      3.8710	      0.5176	
           2	       react	           1	         -99	           0	          72	           8	       -6.76	  1.0000e-05	  7.0355e-05	  4.7353e-07	  0.0000e+00	  0.0000e+00	  7.6594e-06	  2.5377e-06	  0.0000e+00	  0.0000e+00	     -0.5501	     -5.0000	      3.7894	      0.5584	
           2	       react	           1	         -99	           0	          73	           8	       -6.76	  1.0000e-05	  9.2791e-05	  3.8842e-07	  0.0000e+00	  0.0000e+00	  1.0181e-05	  2.5213e-06	  0.0000e+00	  0.0000e+00	     -0.5208	     -5.0000	      3.7307	      0.5877	
           2	       react	           1	         -99	           0	          74	           8	       -6.76	  1.0000e-05	  1.1525e-04	  3.3301e-07	  0.0000e+00	  0.0000e+00	  1.2695e-05	  2.5139e-06	  0.0000e+00	  0.0000e+00	     -0.4979	     -5.0000	      3.6850	      0.6105	
           2	       react	           1	         -99	           0	          75	           8	       -6.76	  1.0000e-05	  1.3772e-04	  2.9369e-07	  0.0000e+00	  0.0000e+00	  1.5204e-05	  2.5098e-06	  0.0000e+00	  0.0000e+00	     -0.4792	     -5.0000	      3.6476	      0.6292	
           2	       react	           1	         -99	           0	          76	           8	       -6.76	  1.0000e-05	  1.6020e-04	  2.6416e-07	  0.0000e+00	  0.0000e+00	  1.7712e-05	  2.5074e-06	  0.0000e+00	  0.0000e+00	     -0.4634	     -5.0000	      3.6159	      0.6451	
           2	       react	           1	         -99	           0	          77	           8	       -6.76	  1.0000e-05	  1.8268e-04	  2.4106e-07	  0.0000e+00	  0.0000e+00	  2.0218e-05	  2.5058e-06	  0.0000e+00	  0.0000e+00	     -0.4497	     -5.0000	      3.5886	      0.6588	
           2	       react	           1	         -99	           0	          78	           8	       -6.76	  1.0000e-05	  2.0517e-04	  2.2242e-07	  0.0000e+00	  0.0000e+00	  2.2722e-05	  2.5047e-06	  0.0000e+00	  0.0000e+00	     -0.4376	     -5.0000	      3.5644	      0.6708	
           2	       react	           1	         -99	           0	          79	           8	       -6.76	  1.0000e-05	  2.2765e-04	  2.0703e-07	  0.0000e+00	  0.0000e+00	  2.5226e-05	  2.5038e-06	  0.0000e+00	  0.0000e+00	     -0.4268	     -5.0000	      3.5429	      0.6816	
           2	       react	           1	         -99	           0	          80	           8	       -6.76	  1.0000e-05	  2.5014e-04	  1.9406e-07	  0.0000e+00	  0.0000e+00	  2.7729e-05	  2.5032e-06	  0.0000e+00	  0.0000e+00	     -0.4171	     -5.0000	      3.5234	      0.6913	
           2	       react	           1	         -99	           0	          81	           8	       -6.76	  1.0000e-04	  4.7509e-04	  1.2601e-07	  0.0000e+00	  0.0000e+00	  5.2746e-05	  2.5017e-05	  0.0000e+00	  0.0000e+00	     -0.3516	     -5.0000	      3.3923	      0.7569	
           2	       react	           1	         -99	           0	          82	           8	       -6.76	  1.0000e-04	  7.0006e-04	  9.7878e-08	  0.0000e+00	  0.0000e+00	  7.7753e-05	  2.5007e-05	  0.0000e+00	  0.0000e+00	     -0.3127	     -5.0000	      3.3146	      0.7958	
           2	       react	           1	         -99	           0	          83	           8	       -6.76	  1.0000e-04	  9.2504e-04	  8.1984e-08	  0.0000e+00	  0.0000e+00	  1.0276e-04	  2.5004e-05	  0.0000e+00	  0.0000e+00	     -0.2851	     -5.0000	      3.2595	      0.8233	
           2	       react	           1	         -99	           0	          84	           8	       -6.76	  1.0000e-04	  1.1500e-03	  7.1589e-08	  0.0000e+00	  0.0000e+00	  1.2776e-04	  2.5003e-05	  0.0000e+00	  0.0000e+00	     -0.2639	     -5.0000	      3.2169	      0.8446	
           2	       react	           1	         -99	           0	          85	           8	       -6.76	  1.0000e-04	  1.3750e-03	  6.4177e-08	  0.0000e+00	  0.0000e+00	  1.5276e-04	  2.5002e-05	  0.0000e+00	  0.0000e+00	     -0.2466	     -5.0000	      3.1823	      0.8619	
           2	       react	           1	         -99	           0	          86	           8	       -6.76	  1.0000e-04	  1.6000e-03	  5.8582e-08	  0.0000e+00	  0.0000e+00	  1.7776e-04	  2.5001e-05	  0.0000e+00	  0.0000e+00	     -0.2320	     -5.0000	      3.1532	      0.8764	
           2	       react	           1	         -99	           0	          87	           8	       -6.76	  1.0000e-04	  1.8250e-03	  5.4183e-08	  0.0000e+00	  0.0000e+00	  2.0276e-04	  2.5001e-05	  0.0000e+00	  0.0000e+00	     -0.2195	     -5.0000	      3.1282	      0.8889	
           2	       react	           1	         -99	           0	          88	           8	       -6.76	  1.0000e-04	  2.0500e-03	  5.0619e-08	  0.0000e+00	  0.0000e+00	  2.2777e-04	  2.5001e-05	  0.0000e+00	  0.0000e+00	     -0.2085	     -5.0000	      3.1062	      0.8999	
